variable,psi,mean_ref,mean_ago,diff_mean,pct_change,drift_level
Visa_Finiciomora,5.014842709480314,49.703363914373085,8.71886206072197,-40.98450185365112,-82.4582052922163,Alto
Master_Finiciomora,3.145861212950952,42.737075332348596,32.53978159126365,-10.197293741084948,-23.86053248095431,Alto
cpayroll_trx,0.22933963985334185,1.2506679325433776,0.9503160985790732,-0.3003518339643044,-24.01531422921385,Moderado
Visa_mpagado,0.19753514340984554,5036.083848433261,12683.37731753313,7647.293469099869,151.8500028842642,Moderado
mpayroll,0.11455703884354654,107150.39190106686,81504.8453060271,-25645.546595039763,-23.934160333000534,Moderado
mcomisiones_otras,0.05344698731052486,1503.5393595759313,1765.635833626579,262.09647405064766,17.431966272207944,Bajo
mcomisiones,0.05238767086468922,1497.0731337143136,1756.3278234701677,259.2546897558541,17.317436531148626,Bajo
mrentabilidad,0.039056813175844994,2295.674334714843,3137.571873657643,841.8975389428001,36.673213016835696,Bajo
mpasivos_margen,0.034075779270608696,1754.2806074991026,2165.853873694046,411.57326619494324,23.461085098676485,Bajo
Master_Fvencimiento,0.02757540834643902,-1074.5713078799922,-1073.765213521932,0.8060943580601361,-0.07501543658842605,Bajo
Visa_Fvencimiento,0.01492045116307526,-9484.743087911525,-9439.569157747197,45.17393016432834,-0.47627995556256364,Bajo
mttarjeta_visa_debitos_automaticos,0.013197673654108885,6683.925854862367,8015.6828074528885,1331.756952590522,19.924771481743868,Bajo
ctrx_quarter,0.01145151556816235,119.84624466719006,128.72095958063852,8.874714913448457,7.405083853977496,Bajo
mcuentas_saldo,0.010446734604315859,242641.73001801438,238273.62877661965,-4368.101241394732,-1.8002267132988345,Bajo
Visa_cconsumos,0.00893195052582279,9.024945102591717,8.072056361122497,-0.95288874146922,-10.558388229924816,Bajo
Master_cconsumos,0.007971691816359528,3.712889431887599,3.2962481775006136,-0.4166412543869855,-11.221482945565898,Bajo
Master_mconsumototal,0.00627644916940485,14718.010451755534,13033.108030401458,-1684.902421354076,-11.447895263269801,Bajo
Master_mconsumospesos,0.00627644916940485,14718.010451755534,13033.108030401458,-1684.902421354076,-11.447895263269801,Bajo
Master_mpagospesos,0.006213346932504401,-19109.962029118306,-19757.814750913054,-647.8527217947485,3.3901308689551546,Bajo
mpagomiscuentas,0.0062105341967498865,14439.115907018922,25424.62365642936,10985.507749410439,76.08158158817973,Bajo
ccomisiones_otras,0.0061440738652101794,8.231917133763002,8.150920386841563,-0.08099674692143921,-0.9839354017453976,Bajo
