numero_de_cliente,foto_mes,prob,Predicted
834026592,202108,0.6188878121136631,1
1316054205,202108,0.60044616021392,1
1232041358,202108,0.6001867468035694,1
657901747,202108,0.5996791630712173,1
458348509,202108,0.5974518712580049,1
536087879,202108,0.594494277872483,1
1534162279,202108,0.5941330960438215,1
1019613711,202108,0.5935587451594438,1
1385860725,202108,0.5934173727534335,1
292688041,202108,0.5921353812658828,1
886708367,202108,0.5884036852756034,1
909027483,202108,0.5874406218186726,1
728444094,202108,0.5871147609562221,1
635622819,202108,0.5868829244902455,1
1195505335,202108,0.585212565097174,1
1443216108,202108,0.582616117889658,1
576908517,202108,0.5817119449773468,1
1245711022,202108,0.5793018916607887,1
1053163517,202108,0.5790369530945749,1
620749642,202108,0.578203943169981,1
988549189,202108,0.5779081166300093,1
891141317,202108,0.576508138608238,1
1161202043,202108,0.5757532068914375,1
1040396247,202108,0.5752249734445153,1
1356660581,202108,0.5751932733256396,1
738532611,202108,0.5749595958633792,1
1308433696,202108,0.5748685520361448,1
1351860960,202108,0.57376311591474,1
1160271425,202108,0.5728465692669611,1
1347969497,202108,0.5725052975174573,1
714018758,202108,0.5723313967773987,1
301200021,202108,0.5718347969246471,1
942968025,202108,0.571744853808552,1
491634096,202108,0.5715809448794213,1
658930239,202108,0.5709319806366008,1
1015232545,202108,0.5709128006156773,1
1453335539,202108,0.5707301382640655,1
1300750608,202108,0.5701888888543251,1
1093305562,202108,0.5699588658190685,1
1457658216,202108,0.569676054131318,1
1192132311,202108,0.5693981693959568,1
1172760983,202108,0.5688235437997359,1
942984797,202108,0.5687824153012545,1
1140273076,202108,0.5685541073690589,1
1318678995,202108,0.5681836494539433,1
995149088,202108,0.5678295873392832,1
988613006,202108,0.5677989857411273,1
1386110495,202108,0.5676904685480568,1
931725371,202108,0.567572075654018,1
749504633,202108,0.5675058352253693,1
565735069,202108,0.5671695750490098,1
971947493,202108,0.5671339502968051,1
664813117,202108,0.5671049452917395,1
1324020180,202108,0.5670971103836399,1
1090118286,202108,0.5668377649799572,1
342916998,202108,0.566653596029372,1
1321610378,202108,0.566294431932025,1
642971030,202108,0.5651098659122202,1
955133721,202108,0.5650466475091958,1
970610589,202108,0.5650396815020969,1
445927201,202108,0.5648990153373442,1
553430080,202108,0.564815888515434,1
1110680804,202108,0.5646887915189475,1
997029956,202108,0.5639681462142272,1
