foto_mes,BAJA+1,BAJA+2,CONTINUA,total,pct_continua,pct_baja1,pct_baja2,pct_total_bajas
201901,645,729,122899,124273,98.89436965390712,0.5190186122488393,0.5866117338440369,1.1056303460928762
201902,733,707,123961,125401,98.85168379837481,0.5845248442994873,0.5637913573256992,1.1483162016251864
201903,708,751,124508,125967,98.84176014352965,0.5620519659910929,0.5961878904792525,1.1582398564703453
201904,756,514,125268,126538,98.99634892285322,0.5974489876558821,0.4062020894909039,1.003651077146786
201905,517,692,125993,127202,99.04954324617538,0.406440150312102,0.5440166035125233,0.9504567538246254
201906,696,608,127430,128734,98.98705858592136,0.5406497118088461,0.4722917022697966,1.0129414140786428
201907,611,680,128977,130268,99.00896613135997,0.4690330702858722,0.5220007983541622,0.9910338686400344
201908,683,577,130883,132143,99.0464875173108,0.5168643060926421,0.43664817659656585,0.953512482689208
201909,581,582,132594,133757,99.13051279559201,0.43436978999229947,0.4351174144156941,0.8694872044079935
201910,594,618,134798,136010,99.10888905227557,0.43673259319167707,0.45437835453275494,0.891110947724432
201911,619,673,136704,137996,99.06374097799936,0.4485637264848256,0.48769529551581203,0.9362590220006377
201912,678,616,138686,139980,99.0755822260323,0.4843549078439777,0.44006286612373197,0.9244177739677097
202001,622,544,142298,143464,99.18725255116266,0.43355824457703673,0.3791892042603022,0.812747448837339
202002,550,168,145942,146660,99.51043229237693,0.37501704622937404,0.11455066139369971,0.4895677076230738
202003,168,398,148232,148798,99.61961854325999,0.11290474334332451,0.26747671339668544,0.38038145674000995
202004,399,531,148420,149350,99.37730164044191,0.2671576832942752,0.35554067626380986,0.6226983595580851
202005,535,623,149634,150792,99.23205475091517,0.354793357737811,0.41315189134702107,0.7679452490848321
202006,626,585,151891,153102,99.20902404932659,0.40887774163629476,0.3820982090371125,0.7909759506734073
202007,589,473,153922,154984,99.31476797604914,0.38003922985598515,0.3051927940948743,0.6852320239508595
202008,478,493,155490,156461,99.37939806085862,0.30550744274931135,0.31509449639207215,0.6206019391413835
202009,500,541,156764,157805,99.3403250847565,0.31684674123126644,0.34282817401223026,0.6596749152434966
202010,544,454,158171,159169,99.37299348491226,0.34177509439652193,0.285231420691215,0.6270065150877369
202011,456,616,159178,160250,99.33104524180968,0.2845553822152886,0.384399375975039,0.6689547581903276
202012,622,619,159756,160997,99.22917818344442,0.3863426026571924,0.3844792138983956,0.770821816555588
202101,622,825,160080,161527,99.10417453428839,0.38507494103153034,0.5107505246800844,0.8958254657116147
202102,831,1032,160292,162155,98.85109925688384,0.5124726342080108,0.6364281089081435,1.1489007431161542
202103,1039,951,161119,163109,98.77995696129582,0.6369973453334886,0.5830456933706908,1.2200430387041794
202104,955,1130,161333,163418,98.72413075670978,0.5843909483655412,0.6914782949246717,1.275869243290213
202105,1134,842,161941,163917,98.79451185661036,0.6918135397792785,0.5136746036103638,1.2054881433896423
202106,843,1134,162336,164313,98.79680853006153,0.5130452246626864,0.6901462452757846,1.2031914699384711
202107,1137,0,163459,164596,99.30921772096528,0.6907822790347274,0.0,0.6907822790347274
202108,0,0,164822,164822,100.0,0.0,0.0,0.0
