variable,psi,mean_ref,mean_ago,diff_mean,pct_change,drift_level
Visa_fultimo_cierre,6.3674179942590365,6.147105747427855,8.946155857240328,2.7990501098124723,45.53443888587217,Alto
Master_fultimo_cierre,5.768085299871024,6.015870869698051,8.505565944117786,2.4896950744197346,41.38544739981591,Alto
Master_Finiciomora,2.8617802641916024,26.91662228247712,32.53978159126365,5.623159308786526,20.891028784273708,Alto
cmobile_app_trx,2.6563883442319542,20.761927009099555,0.7926308381162709,-19.969296170983284,-96.18228675127855,Alto
internet,1.9678515535833243,0.5710468564962699,0.04186941063692953,-0.5291774458593403,-92.66795532439761,Alto
tmobile_app,0.8889542109434505,0.32752203479242936,0.025111938940190023,-0.3024100958522393,-92.33274825124208,Alto
mcomisiones_mantenimiento,0.6230087015008834,433.46542311496955,743.1077479341351,309.64232481916554,71.43414637181753,Alto
Master_Fvencimiento,0.4923573911020581,-1124.850302387606,-1073.765213521932,51.085088865673924,-4.541501100834553,Alto
Visa_Finiciomora,0.3767726397968542,15.345380178625637,8.71886206072197,-6.626518117903668,-43.18249558348285,Alto
mcomisiones,0.3457918601665356,1097.217276698961,1756.3278234701677,659.1105467712066,60.07110540167369,Alto
mcomisiones_otras,0.3449817363137654,1103.8246296903935,1765.635833626579,661.8112039361854,59.95619105924585,Alto
mrentabilidad_annual,0.30403564049820564,25662.94633055327,26418.484234992902,755.5379044396323,2.9440809122533187,Alto
mrentabilidad,0.20985193145749426,2230.5729637221466,3137.571873657643,906.9989099354966,40.66214935296229,Moderado
Visa_mconsumosdolares,0.20868456817425138,28.776060696510083,14.9346883532853,-13.841372343224783,-48.10030284966505,Moderado
mautoservicio,0.19006852870295152,12659.786696865633,24260.631581706326,11600.844884840693,91.63538977882529,Moderado
mpayroll,0.1879513470104402,56218.794362109984,81504.8453060271,25286.050943917115,44.97793172341537,Moderado
mtransferencias_recibidas,0.17699980560004364,79833.31164657502,155373.38880016017,75540.07715358515,94.62225178382155,Moderado
Visa_mpagominimo,0.16033741797289391,4536.065984356974,7863.864463557593,3327.798479200619,73.36309680407709,Moderado
mactivos_margen,0.16019586424665158,-592.5686241965976,-988.364289293905,-395.7956650973074,66.7932200483827,Moderado
