foto_mes,variable,mean,std,min,max,median
201901,Master_mfinanciacion_limite,136542.7274444034,192074.1287962934,0.0,18523779.13,44339.4
201901,Visa_mfinanciacion_limite,149649.53712288503,206861.05439844428,0.0,18523779.13,50673.6
201901,mtransferencias_recibidas,24.980089480418112,1186.207171591842,0.0,152490.0,0.0
201901,minversion2,46228.26772235321,1030538.0757109757,0.0,183005859.52,0.0
201901,mcuentas_saldo,164872.94151223515,816481.4518146387,-1453631.54,94567240.49,19981.21
201901,mcaja_ahorro_dolares,121315.23378819213,766016.1426188893,-10683.7,94120017.21,4.77
201901,mplazo_fijo_dolares,47739.91157990875,278239.4540426948,0.0,13724100.0,0.0
201901,Master_mlimitecompra,150842.18431483192,167836.1874743201,1231.65,4170437.28,49266.0
201901,Visa_mlimitecompra,165302.67000757725,182077.63589493773,674.47,4170437.28,56304.0
201901,minversion1_pesos,13915.478232037529,207525.87990144704,0.0,32550260.87,0.0
201902,Master_mfinanciacion_limite,142860.53465686363,219016.4766086647,0.0,23296789.07,44339.4
201902,Visa_mfinanciacion_limite,156022.79788147705,224946.4906633401,0.0,23296789.07,50673.6
201902,mtransferencias_recibidas,26.535721086753693,1204.8031572277043,0.0,127118.01,0.0
201902,minversion2,46171.0474134975,901195.4680795264,0.0,113755726.02,0.0
201902,mcuentas_saldo,180558.06151808996,1035647.0090491879,-3222618.31,193533073.72,18938.8
201902,mcaja_ahorro_dolares,128102.90320204783,770350.0840570028,-13723.5,59100981.31,4.11
201902,mplazo_fijo_dolares,51393.278422979085,445405.28537587385,0.0,102782991.88,0.0
201902,Master_mlimitecompra,157295.75821038376,176604.99099266442,1231.65,4391520.56,49266.0
201902,Visa_mlimitecompra,172159.28023640133,191672.42361911474,674.47,4391520.56,56304.0
201902,minversion1_pesos,16016.525617658554,236847.30537414295,0.0,29969575.03,0.0
201903,Master_mfinanciacion_limite,186273.21923212917,201646.82851143376,0.0,23785085.33,126684.0
201903,Visa_mfinanciacion_limite,209114.0864364047,209312.74670268185,0.0,25279982.29,126684.0
201903,mtransferencias_recibidas,33.4660974699723,1559.8775132613741,0.0,205275.0,0.0
201903,minversion2,49563.52877325013,1006490.8962154649,0.0,128528945.41,0.0
201903,mcuentas_saldo,190816.63441925266,1111664.5498880877,-2794619.85,208924240.46,18303.55
201903,mcaja_ahorro_dolares,141812.79380004288,844031.2855702506,-12302.96,65701404.91,4.57
201903,mplazo_fijo_dolares,53027.21624250796,462241.4936089544,0.0,105570000.0,0.0
201903,Master_mlimitecompra,206191.67262348268,176933.80506541894,985.32,6141358.8,140760.0
201903,Visa_mlimitecompra,231723.433825771,191551.22754400247,674.47,4913087.04,140760.0
201903,minversion1_pesos,16587.740442099916,257874.72006208674,0.0,36269973.11,0.0
201904,Master_mfinanciacion_limite,2087585.583630325,11936574.016295662,0.0,525199179.52,126684.0
201904,Visa_mfinanciacion_limite,1228439.7563352871,8887821.50545893,0.0,525199179.52,126684.0
201904,mtransferencias_recibidas,29.391363701022616,1365.149186826615,0.0,143636.19,0.0
201904,minversion2,46954.103535775816,990701.4712984139,0.0,131892361.36,0.0
201904,mcuentas_saldo,190906.49120525058,1133120.941296367,-2792081.62,232000759.91,17611.495
201904,mcaja_ahorro_dolares,142904.9383947905,844561.0881900522,-30989.2,66697140.04,5.16
201904,mplazo_fijo_dolares,53004.40985498427,446395.59199342615,0.0,90791967.53,0.0
201904,Master_mlimitecompra,266715.8044893607,322193.82374694414,985.32,12389695.2,140760.0
201904,Visa_mlimitecompra,300224.5469034017,364094.0568141118,674.47,12389695.2,140760.0
201904,minversion1_pesos,16464.549734071978,253840.69792123884,0.0,38686268.74,0.0
201905,Master_mfinanciacion_limite,251198.5498019713,335550.4886485179,0.0,26887450.16,126684.0
201905,Visa_mfinanciacion_limite,278006.89093456184,364324.40423674614,0.0,29812024.73,177357.6
201905,mtransferencias_recibidas,34.619602443357806,1877.141894788022,0.0,332505.61,0.0
201905,minversion2,48095.93142151852,1030477.7304045847,0.0,156971966.25,0.0
201905,mcuentas_saldo,192878.27475385607,1157675.5315452,-2092831.25,240711946.82,18677.835
201905,mcaja_ahorro_dolares,143324.7163267873,834675.7782711216,-17139.78,68001074.49,5.79
201905,mplazo_fijo_dolares,53564.488026760584,448687.2627539305,0.0,89148000.0,0.0
201905,Master_mlimitecompra,276491.0362986843,331676.5566111558,985.32,12541716.0,140760.0
201905,Visa_mlimitecompra,308126.4720020258,363093.1305055671,674.47,12541716.0,197064.0
201905,minversion1_pesos,16400.414278627697,262558.1478496337,0.0,37830412.31,0.0
201906,Master_mfinanciacion_limite,246648.34070986553,308977.2764779996,0.0,36685058.75,126684.0
201906,Visa_mfinanciacion_limite,273334.89473722555,323507.3583812665,0.0,17394849.13,177357.6
201906,mtransferencias_recibidas,55087.62458744387,534776.5551241601,0.0,144565082.75,7038.0
201906,minversion2,46575.728140817504,946773.5102032702,0.0,129006198.29,0.0
201906,mcuentas_saldo,195074.17385546942,1100873.6846684276,-4298732.47,224757747.09,28127.660000000003
201906,mcaja_ahorro_dolares,135407.43509259407,787526.7494264425,-20943.95,64331495.57,5.47
201906,mplazo_fijo_dolares,54022.039135426545,443744.6735653489,0.0,82110000.0,0.0
201906,Master_mlimitecompra,274023.48987623496,320283.4071184861,985.32,17708171.04,140760.0
201906,Visa_mlimitecompra,303936.74151165143,355126.46687853284,674.47,12020904.0,197064.0
201906,minversion1_pesos,17409.32298196281,277532.53987700667,0.0,38469975.69,0.0
201907,Master_mfinanciacion_limite,309524.2974733718,1546192.5796347295,0.0,98237817.23,126684.0
201907,Visa_mfinanciacion_limite,279692.62872200494,669456.3717800106,0.0,78099023.99,177357.6
201907,mtransferencias_recibidas,53476.563924217764,487164.86029403104,0.0,121960075.91,5865.0
201907,minversion2,46902.181594712434,1029064.7453228467,0.0,154716477.61,0.0
201907,mcuentas_saldo,203312.54280690572,1141081.2390968346,-1770437.19,237745395.38,23942.559999999998
201907,mcaja_ahorro_dolares,145617.7904776307,827073.6663851956,-49281.87,68005518.35,8.23
201907,mplazo_fijo_dolares,54966.27202390456,429432.6579462184,0.0,76245000.0,0.0
201907,Master_mlimitecompra,299287.61255859083,372878.056353767,985.32,16435137.6,140760.0
201907,Visa_mlimitecompra,303781.9696441855,354549.6223308802,674.47,12488227.2,197064.0
201907,minversion1_pesos,18149.581338394695,262708.3394584062,0.0,32513208.09,0.0
201908,Master_mfinanciacion_limite,292101.2056494377,530025.5815555503,0.0,93301245.79,126684.0
201908,Visa_mfinanciacion_limite,291330.5063792289,526890.5972625356,0.0,93301245.79,177357.6
201908,mtransferencias_recibidas,49115.4568581007,716490.5734955963,0.0,217576569.68,1777.09
201908,minversion2,50479.12581483696,1248589.447057775,0.0,208720367.77,0.0
201908,mcuentas_saldo,191117.84828723426,1273799.987290831,-1507272.21,288419093.35,20175.11
201908,mcaja_ahorro_dolares,181347.51109252858,1004499.4945728004,-187070.09,91646469.7,14.55
201908,mplazo_fijo_dolares,54059.26092853953,404590.6908273605,0.0,60823757.72,0.0
201908,Master_mlimitecompra,305188.01165841095,391736.8995192495,985.32,22563828.0,140760.0
201908,Visa_mlimitecompra,311034.5136100708,375986.7358810959,674.47,16300008.0,197064.0
201908,minversion1_pesos,8921.693666255496,200283.2089431343,0.0,38287536.34,0.0
201909,Master_mfinanciacion_limite,290977.3518031082,476070.8504680717,0.0,45805292.58,126684.0
201909,Visa_mfinanciacion_limite,289879.98780554713,406788.9256609887,0.0,44222790.96,177357.6
201909,mtransferencias_recibidas,55068.083661565375,474967.9151840648,0.0,64573536.98,2346.0
201909,minversion2,37747.09417122094,1072142.2892192698,0.0,203647013.78,0.0
